INSTNM,PREDDEG,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Adams State University,3,0.526,14656,NULL,17759,0.5029,0.227,0.629,9.3,NULL,34243,33200
University of Colorado Denver,3,0.7587,10322,NULL,18822,0.2777,0.4129,0.3877,5,22995,36176,73800
University of Colorado Colorado Springs,3,0.91,9954,NULL,16707,0.3222,0.4598,0.5042,2.7,21000,48420,41200
University of Colorado Boulder,3,0.8771,15288,NULL,27854,0.1722,0.6969,0.3298,4.7,19500,73526,48000
Colorado Christian University,3,0.9764,NULL,21823,36956,0.4139,0.3726,0.647,6.2,25351,54471,40500
Colorado College,3,0.2228,NULL,12034,54200,0.0983,0.8721,0.3333,3,18049.5,73379,41100
The Art Institute of Colorado,3,NULL,NULL,24962,30664,0.5223,0.3765,0.7743,18.7,28902,39570.5,32400
Colorado School of Mines,3,0.3743,20357,NULL,29091,0.1754,0.6969,0.4771,1.9,26025,74554,74700
Colorado State University-Fort Collins,3,0.7743,10257,NULL,21823,0.2571,0.6383,0.4739,4.8,21250,69107,44300
Colorado Technical University-Colorado Springs,3,NULL,NULL,18129,23475,0.4436,0.2174,0.6049,19.4,35500,29262,44100
Westwood College-Denver North,3,NULL,NULL,19523,24309,0.7626,0.3231,0.8,16,38747.5,30932.5,35000
University of Denver,3,0.7673,NULL,22218,53614,0.1856,0.7752,0.3973,1.9,24500,55997.5,51400
Fort Lewis College,3,0.875,11381,NULL,19565,0.3175,0.3662,0.4633,7.2,20000,47128,34000
Colorado Mesa University,3,0.8212,13631,NULL,18077,0.4025,0.3005,0.576,16,22000,40837,34600
Metropolitan State University of Denver,3,0.7116,8905,NULL,14034,0.3851,0.2597,0.512,13.4,25000,32755,38600
Naropa University,3,0.7975,NULL,22475,42575,0.4726,0.4091,0.5821,4,25000,23027,18600
National American University-Colorado Springs,3,NULL,NULL,NULL,NULL,0.6022,0.2222,0.6218,21.4,34486,29341.5,37800
Nazarene Bible College,3,NULL,NULL,NULL,25950,0.4455,0.25,0.4958,11.9,30457,38404,34500
University of Northern Colorado,3,0.6957,14644,NULL,19105,0.3514,0.4638,0.592,5.9,22461,69484,39000
Regis University,3,0.6986,NULL,16935,43058,0.2602,0.5807,0.5635,3.2,25000,53578.5,53100
Rocky Mountain College of Art and Design,3,NULL,NULL,25509,39272,0.3632,0.4876,0.696,6.8,29688,61665.5,28100
Colorado State University-Pueblo,3,0.9434,11148,NULL,18007,0.4132,0.3306,0.5624,13.9,21199,38635,36200
Western State Colorado University,3,0.932,11664,NULL,18875,0.3143,0.4242,0.2279,5.5,20497.5,60062.5,36500
Albertus Magnus College,3,0.6821,NULL,21389,41520,0.5811,0.6063,0.7824,7,29000,50062.5,52200
University of Bridgeport,3,0.6385,NULL,21447,45640,0.4859,0.281,0.7347,9.1,28250,36730,40600
Central Connecticut State University,3,0.6413,12655,NULL,20372,0.3335,0.5191,0.5918,8,22894,66799.5,43700
Charter Oak State College,3,NULL,NULL,NULL,NULL,0.2597,NULL,0.337,7.2,18000,32836.5,39800
Connecticut College,3,0.3585,NULL,9630,58690,0.1298,0.8354,0.3998,3,24050,94160,51000
University of Connecticut,3,0.5366,13429,NULL,25786,0.2088,0.8323,0.5013,3.8,21500,86510,53900
Eastern Connecticut State University,3,0.6453,14873,NULL,22633,0.2644,0.508,0.6099,5.8,23000,76549,42400
Fairfield University,3,0.7116,NULL,26067,56628,0.1531,0.8207,0.5112,0.9,26778,116850,69000
University of Hartford,3,0.6173,NULL,25810,47368,0.264,0.5871,0.6656,5.6,27000,85192,45900
Holy Apostles College and Seminary,3,NULL,NULL,13413,15930,0.2407,0.2,0.3333,1.6,NULL,NULL,NULL
Lyme Academy College of Fine Arts,3,0.8537,NULL,22600,36811,0.4051,0.9091,0.7215,8.4,27000,56525,NULL
Mitchell College,3,0.5766,NULL,23631,43386,0.338,0.403,0.6923,8.5,26708,63969.5,29800
University of New Haven,3,0.7441,NULL,25815,48280,0.2583,0.5443,0.7151,3.8,27000,78636,48900
Paier College of Art Inc,3,NULL,NULL,11093,17460,0.2969,0.5882,0.6094,9.5,24304.5,56343,24600
Post University,3,0.8302,NULL,36744,40723,0.4313,0.3583,0.5312,13.6,25857,47674,36600
Quinnipiac University,3,0.6722,NULL,26844,53476,0.1429,0.7627,0.6188,1.4,26000,108100,56400
Sacred Heart University,3,0.7624,NULL,29219,50984,0.15,0.6977,0.706,3.6,25000,99091,54100
University of Saint Joseph,3,0.857,NULL,21511,42885,0.3687,0.5212,0.7711,3.6,27000,49233,49700
Southern Connecticut State University,3,0.7542,12253,NULL,18628,0.3462,0.4944,0.6169,5.6,24449.5,62972.5,41700
Trinity College,3,0.3178,NULL,7874,59865,0.116,0.8628,0.1173,3.3,21500,87726,56100
Wesleyan University,3,0.2092,NULL,7455,61167,0.1837,0.9154,0.3615,1.5,18633,88497,50900
Western Connecticut State University,3,0.6549,13304,NULL,19446,0.2835,0.4447,0.5673,6.8,24250,67834,43300
Yale University,3,0.0705,NULL,7637,59320,0.1273,0.9779,0.0969,0.9,12000,45652.5,66000
Delaware State University,3,0.4168,12826,NULL,20506,0.5034,0.3717,0.7236,14.1,29000,40163,34200
University of Delaware,3,0.6468,11626,NULL,21748,0.1192,0.8001,0.4917,3.7,24126.5,102027,54300
Goldey-Beacom College,3,0.5231,NULL,19214,32255,0.3149,0.4255,0.568,9.8,24375,52206,43900
Wesley College,3,0.625,NULL,19720,35199,0.4955,0.2178,0.8011,16.4,30750,65621,41400
Wilmington University,3,NULL,NULL,14285,16978,0.3272,0.3897,0.4817,8.4,18192,40581,43000
American University,3,0.4312,NULL,24792,55159,0.1565,0.7989,0.4603,3.3,23500,86431,55900
Catholic University of America,3,0.6007,NULL,30838,54023,0.1232,0.6852,0.5693,2.6,26000,106352,54500
Corcoran College of Art and Design,3,0.2712,NULL,28035,47459,0.285,0.5273,0.5337,5.9,27000,62038,34100
University of the District of Columbia,3,NULL,15074,NULL,19873,0.4917,0.1605,0.4241,18.6,20000,17636,36200
Gallaudet University,3,0.6558,NULL,10361,29852,0.4763,0.4828,0.4199,7.3,16320.5,26730,25600
George Washington University,3,0.3308,NULL,18775,58925,0.1356,0.8083,0.4048,1.4,25175,85746,64500
Georgetown University,3,0.1697,NULL,10516,59900,0.1325,0.9245,0.2823,0.9,17500,60247,83300
Howard University,3,0.493,NULL,22273,40129,0.4494,0.6065,0.6253,11.6,27000,47531,46500
Strayer University-District of Columbia,3,NULL,NULL,NULL,NULL,0.5387,0.1667,0.7226,14.9,39499.5,34400.5,51700
Trinity Washington University,3,0.5231,NULL,13428,30144,0.6483,0.3394,0.7873,12.7,30375,35959,52100
The Baptist College of Florida,3,0.4257,NULL,8528,15748,0.6292,0.3684,0.6105,5.6,19188,38516.5,29900
Barry University,3,0.4678,NULL,18560,41019,0.5181,0.3729,0.7424,5.7,29884,37767.5,45300
Bethune-Cookman University,3,0.666,NULL,16475,27017,0.7762,0.5505,0.9369,16.8,35650,31109,28700
