INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Rio Salado College,NULL,8129,NULL,11811,0.2559,NULL,0.2366,24.9,15000,26809,36600
Roberto-Venn School of Luthiery,NULL,NULL,18252,NULL,0.4667,NULL,0.6167,5.4,7307,35738,23000
Hair Academy of Safford,NULL,NULL,4536,NULL,0.587,NULL,0.1957,13.1,8000,3667,12600
Scottsdale Community College,NULL,8311,NULL,12970,0.2196,NULL,0.171,16.1,NULL,27247.5,35700
South Mountain Community College,NULL,7570,NULL,12343,0.5049,NULL,0.2666,28.5,NULL,20030,27100
Arizona Christian University,0.6076,NULL,22353,34444,0.328,0.4737,0.5183,5.6,22625,43195,31000
Tucson College,NULL,NULL,18630,NULL,0.5714,NULL,0.473,34.7,9500,13307,24100
Universal Technical Institute of Arizona Inc,NULL,NULL,20564,NULL,0.4808,NULL,0.6294,18.8,18363,46537,43400
Western International University,NULL,NULL,20329,26118,0.3861,0.1883,0.3922,12,33718.5,29442,52600
Empire Beauty School-NW Phoenix,NULL,NULL,12547,NULL,0.8056,NULL,0.7555,18.8,9083,16203,19200
Yavapai College,NULL,7755,NULL,12610,0.3145,NULL,0.1244,19.3,10926,18474,28200
University of Arkansas at Little Rock,0.5274,9213,NULL,19894,0.4027,0.2438,0.4818,10.5,23000,26332.5,34800
University of Arkansas for Medical Sciences,NULL,NULL,NULL,NULL,0.363,NULL,0.6322,3.3,12820,34993,62400
ABC Beauty College Inc,NULL,NULL,4923,NULL,0.9605,NULL,0.9474,17.7,16500,16534.5,NULL
Arkansas Baptist College,NULL,NULL,16845,20024,0.7107,0.1588,0.817,31.1,38125,13335,21100
Arkansas Beauty School,NULL,NULL,10167,NULL,1,NULL,1,5,10500,6888.5,NULL
Arkansas Beauty College,NULL,NULL,9458,NULL,0.9231,NULL,0.9231,11.1,6333,NULL,NULL
Lyon College,0.5898,NULL,8736,33355,0.4617,0.4965,0.6867,9.8,25000,49042.5,37200
Arkansas College of Barbering and Hair Design,NULL,NULL,16144,NULL,0.6629,NULL,0.6798,5.1,12619.5,13630,16900
Arkansas College of Barbering and Hair Design,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.1,12619.5,NULL,16900
Arthur's Beauty College Inc-Fort Smith,NULL,NULL,8717,NULL,0.7746,NULL,0.6056,22.8,7400,13634,15000
University of Arkansas,0.5858,9106,NULL,19917,0.2427,0.601,0.4084,6.7,21524,52612,43600
University of Arkansas at Pine Bluff,0.277,7276,NULL,15414,0.6986,0.2583,0.7276,29.9,27954.5,23857,27400
Arkansas State University-Beebe,NULL,5270,NULL,11558,0.3155,NULL,0.1337,18.4,6750,25402.5,NULL
Arkansas State University-Main Campus,0.7551,8064,NULL,18809,0.4618,0.3698,0.5289,14.6,20959,27550,32700
Arkansas Tech University,0.8503,8423,NULL,16126,0.4559,0.4025,0.4734,17.4,17528,31932,35000
University of Arkansas at Monticello,NULL,9572,NULL,16255,0.6473,0.2804,0.5956,22.6,15418.5,22739,33600
Arthur's Beauty College Inc-Jacksonville,NULL,NULL,10407,NULL,0.679,NULL,0.679,12.6,9900,14303,15400
Baptist Health Schools-Little Rock,0.8615,NULL,13347,18846,0.5978,NULL,0.8846,4,14750,21042,42100
Black River Technical College,NULL,5106,NULL,11401,0.6406,NULL,0.4177,29.1,10559,21742,26600
University of Central Arkansas,0.8997,8319,NULL,17899,0.3937,0.4203,0.492,10.1,21617,39480,37100
Central Baptist College,0.5407,NULL,9362,20386,0.4531,0.3874,0.5745,10.6,20501,44821,35700
Cossatot Community College of the University of Arkansas,NULL,4871,NULL,11753,0.3819,NULL,0,0,NULL,18424,21000
Crowley's Ridge College,NULL,NULL,8377,18790,0.4429,0.2931,0.5524,22.6,13350,43678,31100
Crowley's Ridge Technical Institute,NULL,3294,NULL,8644,0.7814,NULL,0,0,NULL,12915,20200
East Arkansas Community College,NULL,2962,NULL,8767,0.416,NULL,0.0628,24.4,3197,17240.5,23100
Eastern College of Health Vocations-Little Rock,NULL,NULL,12460,NULL,0.8886,NULL,0.9182,17,3888,13784,19700
Imagine-Paul Mitchell Partner School,NULL,NULL,16369,NULL,0.5097,NULL,0.6721,17.8,12500,11231,NULL
National Park Community College,NULL,8431,NULL,13836,0.6033,NULL,0.3935,23.8,18477,17997,25000
University of Arkansas Community College-Batesville,NULL,2631,NULL,7631,0.6327,NULL,0.49,26.9,9350,21215,23900
Harding University,0.7628,NULL,20605,25475,0.2631,0.6219,0.5573,4.4,26250,76594,38600
Harding School of Theology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.4,26250,NULL,38600
