INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
The New England Conservatory of Music,0.2777,NULL,32275,54125,0.156,0.8588,0.4404,0.7,28626,33084,29500
New England College of Optometry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,5383,88500
New England School of Acupuncture,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
New England School of Law,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.9,NULL,5673,64200
New England School of Photography,NULL,NULL,42108,45733,0.0864,NULL,0.2469,11.4,12000,37876,29300
Newbury College,0.5953,NULL,21960,40611,0.5043,0.309,0.773,13.9,27000,48358.5,38300
Nichols College,0.8047,NULL,23873,44886,0.3502,0.4656,0.876,12.1,27000,81300.5,47100
Massachusetts College of Liberal Arts,0.672,11963,NULL,20025,0.4513,0.5659,0.8456,5.8,25000,56421.5,36400
North Bennet Street School,NULL,NULL,28169,NULL,0.2443,NULL,0.5739,17,14000,54945.5,30000
North Shore Community College,NULL,7475,NULL,12526,0.4353,NULL,0.2505,12.5,7000,20302,29200
The New England Institute of Art,NULL,NULL,27147,33728,0.4933,0.3539,0.8175,14.7,29444,53956,34900
Northeastern University,0.3231,NULL,20140,55914,0.1424,0.8256,0.4433,4.2,28804.5,83394,60100
Northern Essex Community College,NULL,7237,NULL,12455,0.5104,NULL,0.2505,18.8,8627.5,22081,29300
College of Our Lady of the Elms,0.7492,NULL,16464,40802,0.3967,0.6788,0.7287,8.2,27000,71106.5,43700
Pine Manor College,0.6411,NULL,12779,36852,0.6562,0.3353,0.7098,28.3,32000,34277,34700
Blessed John XXIII National Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Quincy College,NULL,11004,NULL,15981,0.3613,NULL,0.3017,11.5,14250,28143.5,38400
Quinsigamond Community College,NULL,5171,NULL,10587,0.4464,NULL,0.3691,15.4,8072.5,28151,32300
Regis College,0.7243,NULL,33913,47432,0.3577,0.4867,0.7215,11.3,27000,55309,43300
Roxbury Community College,NULL,2399,NULL,7312,0.5308,NULL,0,0,NULL,12986,32800
Saint John's Seminary,1,NULL,NULL,NULL,0,NULL,0,0,NULL,NULL,NULL
Salem State University,0.6929,11800,NULL,20601,0.3339,0.4558,0.5898,8.6,25428,51386,40400
Salter College-West Boylston,NULL,NULL,23530,NULL,0.7506,NULL,0.674,11.7,8758,19421,28200
Simmons College,0.4897,NULL,21140,51093,0.2573,0.7122,0.7305,2.1,26000,67781,51400
Bard College at Simon's Rock,0.922,NULL,25354,59385,0.305,0.6739,0.5411,3.7,20500,67809.5,38200
Smith College,0.4308,NULL,10360,57913,0.2264,0.8613,0.5428,3.1,19500,68708.5,42700
Southeastern Technical Institute,0.6604,4100,NULL,NULL,0.4532,NULL,0.6978,8.5,8391,28020.5,39400
Springfield College,0.6992,NULL,20170,44829,0.2192,0.6856,0.8985,5.6,25000,50430,45100
Springfield Technical Community College,NULL,8360,NULL,13496,0.5541,NULL,0.243,16,6629,18052.5,30200
University of Massachusetts-Dartmouth,0.7213,12581,NULL,23763,0.3799,0.4903,0.717,9.7,25921,69531.5,44800
Stonehill College,0.7091,NULL,19764,50677,0.1441,0.8483,0.6856,0.4,27000,116545,58800
Suffolk University,0.825,NULL,22900,45280,0.292,0.5489,0.5983,7.1,27000,64594,49900
Rob Roy Academy-Taunton,NULL,NULL,12820,NULL,0.4234,NULL,0.4775,18.1,7052.5,27002.5,NULL
Tufts University,0.1884,NULL,10291,58752,0.1132,0.9219,0.301,2.3,18125,64738,67800
Wellesley College,0.2911,NULL,10542,57164,0.1922,0.9068,0.2534,1.2,8225,74657,56700
Wentworth Institute of Technology,0.5761,NULL,25754,43850,0.2822,0.6251,0.722,4.5,27000,81863,54600
Wentworth Institute of Technology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.5,27000,NULL,NULL
Wentworth Institute of Technology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.5,27000,NULL,NULL
Wentworth Institute of Technology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.5,27000,NULL,NULL
Western New England University,0.8151,NULL,23804,45850,0.2502,0.5961,0.748,5.6,27000,87684,55100
Westfield State University,0.7487,12199,NULL,19468,0.2609,0.585,0.6121,4.6,23026,78180,43300
Wheaton College,0.6737,NULL,20018,56934,0.2172,0.756,0.5941,5.1,24000,92594,46400
Wheelock College,0.7318,NULL,24909,45591,0.3466,0.5446,0.7918,3.9,27000,65102,36400
Williams College,0.1702,NULL,8202,59412,0.1903,0.9536,0.2478,1.8,12005,88403.5,58100
Worcester Polytechnic Institute,0.5159,NULL,27224,55866,0.1508,0.8124,0.5956,3.7,27000,93479,77600
Worcester State University,0.6062,10907,NULL,18494,0.271,0.4882,0.5427,5.8,19503,62776.5,43700
Adrian College,0.5628,NULL,15522,40199,0.4368,0.5445,0.8015,7.7,27000,71008.5,36500
Albion College,0.5639,NULL,19034,45690,0.2366,0.736,0.6172,5.3,27000,85027.5,45100
Hillsdale Beauty College,NULL,NULL,5549,NULL,0.4096,NULL,0.4217,22.2,4108,27983.5,NULL
Northwestern Technological Institute,NULL,NULL,24769,NULL,0.9874,NULL,0.9045,11.4,9417,15877,28500
Alma College,0.6791,NULL,15096,43157,0.306,0.6118,0.9151,7.8,27000,74312,44700
Alpena Community College,NULL,1640,NULL,7229,0.5222,NULL,0.323,15.5,9495,22274,27700
Andrews University,0.3751,NULL,17118,33653,0.3155,0.6036,0.5554,7.6,29500,53737,36000
Aquinas College,0.7135,NULL,11191,34593,0.3356,0.5976,0.6993,9.2,25000,72085,38100
Baker College of Owosso,NULL,NULL,10778,18035,0.6624,0.1404,0.7344,17.6,24314.5,26420,26500
Baker College of Flint,NULL,NULL,11074,18241,0.7172,0.113,0.7651,17.6,24314.5,26420,26500
Bay de Noc Community College,NULL,6431,NULL,12614,0.507,NULL,0.3694,20.4,14000,21282,27800
Bayshire Academy of Beauty Craft Inc,NULL,NULL,3502,NULL,0.8852,NULL,0,0,NULL,12610,NULL
Cadillac Institute of Cosmetology,NULL,NULL,6796,NULL,0.6111,NULL,0,0,NULL,NULL,NULL
Calvin College,0.6975,NULL,18289,39013,0.2326,0.7273,0.5545,2.5,26870,93258,40900
Calvin Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.1,NULL,17287,NULL
Carnegie Institute,NULL,NULL,13614,17746,0.5376,NULL,0.7168,7.2,9036,24651.5,29800
Michigan School of Professional Psychology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.7,NULL,NULL,NULL
Central Michigan University,0.6304,10704,NULL,21523,0.349,0.5929,0.7469,6.2,27000,70233.5,40000
Mott Community College,NULL,6601,NULL,12138,0.5306,NULL,0.4375,19.2,14042,18061.5,24900
Empire Beauty School-Michigan,NULL,NULL,11854,NULL,0.7072,NULL,0.6684,17.4,9833,35762.5,16400
Cleary University,0.7263,NULL,12685,17823,0.4984,0.4423,0.6828,7.7,26125,55340,50500
Cleary University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,26125,55340,50500
Concordia University-Ann Arbor,0.5374,NULL,17521,33441,0.4269,0.3723,0.8772,NULL,26750,66241,39000
Cranbrook Academy of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.8,NULL,NULL,NULL
College for Creative Studies,0.486,NULL,32827,46095,0.3702,0.5583,0.6999,6.6,28250,65746,40600
Davenport University,0.917,NULL,17374,25439,0.5275,0.3892,0.6966,12,30250,26029,29900
Davenport University-Warren Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,26029,29900
Davenport University-Kalamazoo Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,26029,29900
Davenport University-Lansing Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,26029,29900
Davenport University-Midland Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,26029,29900
Davenport University-Holland Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,26029,29900
Davenport University-Flint Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,NULL,29900
Davenport University-Traverse City Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,NULL,29900
Davenport University-Saginaw Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,NULL,29900
Davenport University-Livonia Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,NULL,29900
Davenport University-Battle Creek Location,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,NULL,29900
Davenport University-Grand Rapids Downtown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,30250,NULL,NULL
David Pressley School of Cosmetology,NULL,NULL,11540,NULL,0.4364,NULL,0.5636,11.2,9708,44312,16500
Delta College,NULL,2985,NULL,8696,0.4608,NULL,0.3497,18.6,9530,24421,28100
Detroit Business Institute-Downriver,NULL,NULL,NULL,NULL,0.7273,NULL,0.7692,19.2,8050,10906.5,19900
Michigan State University-College of Law,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.9,NULL,NULL,NULL
MIAT College of Technology,0.9593,NULL,12008,16919,0.7273,NULL,0.6495,11.3,16213,32300,41600
University of Detroit Mercy,0.6147,NULL,24261,48027,0.2873,0.5682,0.6161,6.1,25000,44772,42200
Dorsey Business Schools-Madison Heights,NULL,NULL,25297,30517,0.7479,NULL,0.641,22.1,11250,14858,22800
Dorsey Business Schools-Southgate,NULL,NULL,24606,28379,0.6909,NULL,0.5318,22.1,11250,14858,22800
Eastern Michigan University,0.6398,11017,NULL,18905,0.447,0.3844,0.7528,12.9,26000,52069,37300
Ferris State University,0.759,10329,NULL,21498,0.4123,0.4319,0.6678,9.5,25522,59172,40300
Flint Institute of Barbering Inc,0.75,NULL,4698,NULL,0.8242,NULL,0.5934,3.3,12677.5,10627,NULL
Glen Oaks Community College,NULL,5267,NULL,10394,0.4685,NULL,0.2583,17.7,5335,24467.5,24900
Kettering University,0.6159,NULL,27551,49303,0.2523,0.6078,0.5905,5.3,26761.5,83977,74900
Gogebic Community College,NULL,7172,NULL,12540,0.5462,NULL,0.3975,13.2,9675,31190.5,26700
Grace Bible College,0.7486,NULL,11682,20912,0.634,0.4878,0.8135,1.8,23374,49384,NULL
Cornerstone University,0.6807,NULL,15790,33912,0.4352,0.4571,0.7596,7.6,23469,55078,35600
Everest Institute-Grand Rapids,NULL,NULL,24334,NULL,0.749,NULL,0.5948,15.9,9500,17310,22900
Grand Rapids Community College,NULL,3309,NULL,8382,0.4322,NULL,0.4028,26.4,12000,28743,28200
Grand Valley State University,0.826,11713,NULL,21512,0.3632,0.695,0.642,5.1,26500,72885.5,39100
Great Lakes Christian College,NULL,NULL,17303,25506,0.7596,0.25,0.8251,13.5,NULL,44638,29100
Henry Ford Community College,NULL,4565,NULL,9498,0.5527,NULL,0.4631,25.2,18893,21233,29200
Hope College,0.7253,NULL,15464,38593,0.204,0.7814,0.5704,3.5,27000,91493,43300
ITT Technical Institute-Wyoming,0.9432,NULL,22681,26994,0.7178,0.3421,0.8151,22.4,25833.5,26260.5,38400
Jackson College,NULL,5758,NULL,11636,0.5597,NULL,0.3744,21.6,NULL,27640.5,29100
Wright Beauty Academy,NULL,NULL,1223,NULL,0.3696,NULL,0,0,NULL,10500,NULL
Kalamazoo College,0.6689,NULL,11500,48547,0.1856,0.7741,0.5149,1.3,27000,97614,49400
Kalamazoo Valley Community College,NULL,5183,NULL,10156,0.4655,NULL,0.403,32,14017,21691,28700
Kellogg Community College,NULL,3829,NULL,9222,0.2413,NULL,0.2967,25.8,17539,26746,28800
Kirtland Community College,NULL,6468,NULL,11482,0.5827,NULL,0.3049,11,10500,23783.5,25400
Michigan College of Beauty-Monroe,NULL,NULL,6226,NULL,0.6392,NULL,0.8392,8.5,5557.5,15066,NULL
Lake Michigan College,NULL,6090,NULL,11762,0.4591,NULL,0.2188,33.2,15587,18108,24600
Lake Superior State University,0.9183,7445,NULL,19571,0.4152,0.42,0.5991,12.4,25869,48687,35700
Lansing Community College,NULL,6391,NULL,11373,0.4395,NULL,0.5441,32,15500,25131,29600
Lawrence Technological University,0.4365,NULL,24356,39890,0.1847,0.4939,0.3302,8.5,27850,63620,53700
M J Murphy Beauty College of Mount Pleasant,NULL,NULL,2323,NULL,0.4275,NULL,0.4275,9.6,8317.5,15025,NULL
Macomb Community College,NULL,6814,NULL,10964,0.2298,NULL,0.0562,18,5170,26117.5,30000
Madonna University,0.6125,NULL,9718,22629,0.3568,0.4294,0.583,7.3,25000,41119.5,36500
Marygrove College,0.9378,NULL,12157,25733,0.7044,0.2931,0.8721,6.7,35000,20826,26800
Rochester College,0.6567,NULL,17544,26399,0.3883,0.4301,0.6486,7.1,21500,43866,34500
University of Michigan-Ann Arbor,0.3326,7156,NULL,25760,0.157,0.8997,0.3665,2.1,22000,69630,57900
Michigan Barber School Inc,NULL,NULL,8079,NULL,0.4826,NULL,0,0,NULL,4580.5,15400
Michigan State University,0.6865,8734,NULL,23740,0.2387,0.7736,0.4845,5.7,25714,78152,49800
Michigan Technological University,0.7659,9907,NULL,24724,0.267,0.6453,0.5969,6,27000,76868.5,60100
University of Michigan-Dearborn,0.6284,6908,NULL,15831,0.4298,0.518,0.6704,8.1,25000,38952,47400
University of Michigan-Flint,0.7809,8446,NULL,16731,0.4522,0.3754,0.7483,8.9,28376.5,38562,40100
Mid Michigan Community College,NULL,4934,NULL,10136,0.516,NULL,0.4372,17.3,16292,26471,27400
Monroe County Community College,NULL,3599,NULL,7479,0.3736,NULL,0.2181,15.8,11500,23854.5,26400
Montcalm Community College,NULL,5537,NULL,10782,0.6778,NULL,0.4092,13.5,11950,27406,27300
Mr Bela's School of Cosmetology Inc,NULL,NULL,9762,NULL,0.8089,NULL,0.6752,8.2,9833,14709,11900
Baker College of Muskegon,NULL,NULL,12653,18466,0.6742,0.1466,0.7188,17.6,24314.5,26420,26500
Muskegon Community College,NULL,4341,NULL,9042,0.4326,NULL,0.1918,15.1,7991,26932,25800
Everest College-Skokie,NULL,NULL,24848,NULL,0.656,NULL,0.5433,15.2,9500,21074,23000
Everest Institute-Southfield,NULL,NULL,22472,NULL,0.8088,NULL,0.6611,21.4,9500,12451,21200
North Central Michigan College,NULL,728,NULL,6204,0.6025,NULL,0.2169,16.6,10000,23542,25100
Northern Michigan University,0.7313,9507,NULL,18466,0.3848,0.4829,0.6408,12.1,22319,57707,34800
Paul Mitchell the School-Escanaba,NULL,NULL,16561,NULL,0.6667,NULL,0.7273,12.1,13833,13174,NULL
Northwestern Michigan College,NULL,7671,NULL,12840,0.4131,0.1519,0.3904,18.4,15888,31693,28200
Northwood University-Michigan,0.6538,NULL,11349,32803,0.3353,0.5414,0.6951,9.6,23474.5,49456,44600
Oakland Community College,NULL,4473,NULL,10055,0.3635,NULL,0.1824,17,10006,21283,29600
Oakland University,0.66,7514,NULL,19198,0.2034,0.4295,0.3689,6.2,25000,56986,42600
Olivet College,0.5148,NULL,16160,31515,0.457,0.4341,0.8011,12.1,27000,57515,34100
Port Huron Cosmetology College,NULL,NULL,9651,NULL,0.4956,NULL,0.469,7.8,9500,26814.5,NULL
Kuyper College,0.6842,NULL,16013,26213,0.5949,0.4179,0.7595,10.6,25500,60731,29000
Ross Medical Education Center-Lansing,NULL,NULL,19442,NULL,0.5514,NULL,0.5267,16,9500,19752,23000
Ross Medical Education Center-Madison Heights,NULL,NULL,17276,NULL,0.547,NULL,0.4808,17.7,9500,14208.5,24600
Ross Medical Education Center-Flint,NULL,NULL,18592,NULL,0.5808,NULL,0.4865,18.7,9500,17431.5,19900
Sacred Heart Major Seminary,1,NULL,NULL,NULL,0.1288,0.5,0.0833,3.4,NULL,20359,NULL
Saginaw Valley State University,0.7865,11837,NULL,17876,0.4075,0.3894,0.6985,9.5,27000,51643,37800
Schoolcraft College,NULL,3241,NULL,8550,0.3788,NULL,0.1722,15.2,10307,23667,31000
Siena Heights University,0.6765,NULL,14985,31980,0.4343,0.431,0.6817,5.8,18750,48925,38100
St Clair County Community College,NULL,4711,NULL,10118,0.3998,NULL,0.243,14.1,13000,30338.5,29300
Southwestern Michigan College,NULL,7955,NULL,13118,0.5328,NULL,0.3695,32.7,12197,19434,25000
Specs Howard School of Media Arts,NULL,NULL,NULL,NULL,0.3772,NULL,0.5272,19.2,11363,31817.5,27100
Spring Arbor University,0.6505,NULL,13191,32709,0.449,0.5673,0.74,5.9,24850,55009.5,40400
Michigan Career and Technical Institute,NULL,14745,NULL,20625,0.3636,NULL,0,0,NULL,6438,14600
Finlandia University,0.5883,NULL,16584,29377,0.6462,0.4625,0.8301,9.5,27500,41922.5,26600
Thomas M Cooley Law Schoo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.1,NULL,NULL,NULL
Twin City Beauty College,NULL,NULL,14574,NULL,0.652,NULL,0.7143,8.1,9833,27295,14400
Walsh College of Accountancy and Business Administration,NULL,NULL,NULL,NULL,0.4181,NULL,0.6065,3.1,16485,39217.5,54500
Washtenaw Community College,NULL,5337,NULL,10498,0.3743,NULL,0.2862,21.4,12135,21402,27200
Wayne County Community College District,NULL,5086,NULL,10234,0.6541,NULL,0.2985,20.4,12159,14289,24000
Wayne State University,0.7624,10815,NULL,20199,0.4804,0.3235,0.5944,12.5,21500,30304.5,41500
West Shore Community College,NULL,2489,NULL,7734,0.5061,NULL,0.2129,22.6,10500,22163.5,24300
Western Michigan University,0.8285,14113,NULL,22483,0.3969,0.5491,0.68,7.7,27000,74325,42700
Western Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.2,NULL,NULL,NULL
Wright Beauty Academy,NULL,NULL,6875,NULL,0.9559,NULL,0,0,NULL,12879,17300
Academy College,NULL,NULL,21629,26704,0.5921,0.8,0.7763,27.5,36387,25296,38300
Alexandria Technical & Community College,NULL,12126,NULL,17952,0.3102,NULL,0.4098,12.5,12000,47090.5,35600
American Indian OIC Inc,NULL,NULL,7285,NULL,0.4657,NULL,0,0,NULL,0,NULL
Anoka Technical College,NULL,14767,NULL,19562,0.489,NULL,0.6039,16.2,16036,41956,37200
Anoka-Ramsey Community College,NULL,11458,NULL,16272,0.3353,NULL,0.3912,12.9,15778,47728,36500
Anoka-Ramsey Community College-Cambridge Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.9,15778,47728,36500
Augsburg College,0.6086,NULL,16624,42531,0.4338,0.6326,0.7115,6,27000,60818,44800
Riverland Community College,NULL,8654,NULL,13823,0.3757,NULL,0.4054,19,NULL,36700,32000
Northwest Technical College,NULL,9163,NULL,14542,0.4589,NULL,0.5038,23,11000,29770,NULL
Bemidji State University,0.6678,9992,NULL,18166,0.3557,0.4758,0.594,8.5,21500,53717,37300
Bethany Lutheran College,0.7458,NULL,12390,32531,0.4064,0.4943,0.7575,5.7,25000,68546.5,34000
Bethel University,0.9485,NULL,17858,42692,0.27,0.7136,0.6746,3.6,23950,82520,44000
Bethel Seminary-St Paul,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.6,23950,82520,44000
Central Lakes College-Brainerd,NULL,9359,NULL,14585,0.3537,NULL,0.3713,18.1,12000,36067.5,32000
Central Lakes College-Staples Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.1,12000,36067.5,32000
Carleton College,0.2095,NULL,10233,58275,0.1231,0.9214,0.4749,2.3,17500,91175.5,46100
Concordia College at Moorhead,0.7998,NULL,13840,39803,0.2426,0.7101,0.68,2,27000,84068,41200
Concordia University-Saint Paul,0.5239,NULL,16162,40267,0.3539,0.4627,0.6249,6.4,23000,57993.5,45300
Dakota County Technical College,NULL,12964,NULL,17876,0.3471,NULL,0.4214,16.7,12000,47605,34400
Martin Luther College,0.9617,NULL,12628,20740,0.3518,0.7684,0.6873,2.8,20250,63952,40400
Lake Superior College,NULL,12627,NULL,17179,0.3919,NULL,0.4603,12.1,14670,36916.5,34000
Cosmetology Careers Unlimited College of Hair Skin and Nails,NULL,NULL,14688,NULL,0.5714,NULL,0.6939,14.6,11081,31249,NULL
Duluth Business University,NULL,NULL,26608,29911,0.6964,0.2468,0.8704,18,29500,18158,25500
Minnesota State Community and Technical College,NULL,10175,NULL,15188,0.4247,NULL,0.5268,21,13000,41745.5,32900
M State - Detroit Lakes Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,13000,41745.5,32900
M State - Moorhead Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,13000,41745.5,32900
M State - Wadena Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,13000,41745.5,32900
Globe University-Woodbury,NULL,NULL,21582,28684,0.5865,0.3455,0.7206,22.4,27000,31603,31100
Minnesota West Community and Technical College,NULL,9073,NULL,14665,0.3755,NULL,0.3992,16,12827.5,39391.5,32400
Gustavus Adolphus College,0.6322,NULL,15875,48422,0.2478,0.8228,0.6884,2.3,27000,93107,50100
Hamline University,0.6557,NULL,17556,43433,0.3852,0.6637,0.7432,4,25018.5,61451,46900
Hazelden Graduate School of Addiction Studies,NULL,NULL,NULL,NULL,0,NULL,0,1.8,NULL,NULL,NULL
Hennepin Technical College,NULL,12996,NULL,18165,0.4488,NULL,0.4615,17.5,11333.5,31768,33900
Cosmetology Careers Unlimited College of Hair Skin and Nails,NULL,NULL,13111,NULL,0.6604,NULL,0.7358,26.6,17060,19177,NULL
Hibbing Community College,NULL,8237,NULL,13853,0.588,NULL,0.6039,25.4,13786,27158,34600
Aveda Institute-Minneapolis,NULL,NULL,15074,NULL,0.313,NULL,0.4225,6.9,8214,60379,27700
Inver Hills Community College,NULL,10163,NULL,15152,0.344,NULL,0.3907,13.6,14250,40885,38400
Itasca Community College,NULL,9405,NULL,15255,0.4937,NULL,0.5048,23.5,11000,39720,30300
The Art Institutes International-Minnesota,NULL,NULL,23922,31098,0.5449,0.3513,0.8573,13.4,30609,46258,33000
Luther Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,10532,NULL
Macalester College,0.3416,NULL,13329,55393,0.172,0.8742,0.4884,1.6,23501.5,85439.5,45700
South Central College,NULL,9824,NULL,15134,0.4142,NULL,0.4831,16.8,14900,41858,32300
South Central  College-Faribault,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.8,14900,41858,32300
Minnesota State University-Mankato,0.6555,10068,NULL,17578,0.2906,0.4904,0.59,4.7,23029,71852,42700
Regency Beauty Institute-Blaine,NULL,NULL,19353,NULL,0.6636,NULL,0.7909,14.9,14144,39984,19600
Mayo Medical School,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,9250,43368,NULL
Mayo School of Health Sciences,NULL,NULL,NULL,NULL,0.0833,NULL,0.4118,0,9250,43368,NULL
Argosy University-Twin Cities,NULL,NULL,17926,23047,0.4565,0.2273,0.7592,19.4,14323,36072,38200
Mesabi Range Community and Technical College,NULL,5844,NULL,11634,0.433,NULL,0.4648,22.9,12499,26689.5,NULL
Mesabi Range Community and Technical College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.9,12499,26689.5,NULL
Metropolitan State University,1,11604,NULL,18170,0.4156,0.3387,0.5207,6.6,18750,34503,43600
University of Minnesota-Twin Cities,0.4442,10322,NULL,24278,0.2169,0.754,0.4516,3.6,21500,72908.5,47800
University of Minnesota-Crookston,0.6916,8381,NULL,21549,0.2388,0.4369,0.3976,8.1,20000,56026,39900
Minneapolis Business College,NULL,NULL,11849,18922,0.9323,NULL,0.8884,6.7,11901,48998,35100
Minneapolis College of Art and Design,0.5895,NULL,21956,41935,0.3907,0.5959,0.8781,7.5,27000,77197,31400
Minneapolis Community and Technical College,NULL,13948,NULL,18789,0.5723,NULL,0.5258,21,17520,19202.5,32800
Herzing University-Minneapolis,0.7126,NULL,15763,22451,0.6214,0.7333,0.8497,16.9,22822,30648.5,42300
Minnesota School of Cosmetology-Woodbury Campus,NULL,NULL,13425,NULL,0.5655,NULL,0.5356,15.9,9956,27599,NULL
Crossroads College,0.2143,NULL,13458,25235,0.6815,0.4,0.758,12.7,27000,54181,27900
University of Minnesota-Duluth,0.7822,9373,NULL,22796,0.2431,0.5883,0.5882,4.4,25000,83294.5,43300
